network,ks_cmi,ks_gpp,ks_led,bc_lcc,Caribou,AllBirds,ForestBirds,AllWaterfowl,CavityNesters,GroundNesters,OverwaterNesters,blbw,boch,brcr,btnw,cawa,cmwa,osfl,pigr,rubl,swth,wwcr,rep
PB_24292_PB_44551,0.276,0.306,0.225,0.276,0.28,0.34,0.149,0.446,0.354,0.441,0.485,0.137,0.14,0.256,0.195,0.12,0.068,0.132,0.444,0.209,0.489,0.341,0
PB_24750_PB_24795,0.759,0.373,0.205,0.361,0.302,0.311,0.092,0.39,0.5,0.402,0.431,0.126,0.586,0.749,0.667,0.394,0.353,0.374,0.741,0.658,0.936,0.808,0
PB_24750_PB_25234,0.763,0.341,0.215,0.336,0.302,0.332,0.115,0.4,0.432,0.413,0.439,0.132,0.585,0.749,0.675,0.409,0.398,0.427,0.765,0.659,0.911,0.809,0
PB_24750_PB_37402,0.328,0.305,0.208,0.209,0.288,0.209,0.253,0.281,0.319,0.289,0.337,0.158,0.391,0.32,0.264,0.183,0.267,0.162,0.566,0.257,0.715,0.362,0
PB_24750_PB_39919,0.324,0.307,0.208,0.214,0.288,0.213,0.256,0.282,0.313,0.29,0.337,0.156,0.385,0.316,0.26,0.185,0.265,0.16,0.561,0.254,0.71,0.358,0
PB_24750_PB_40593,0.309,0.236,0.221,0.268,0.247,0.352,0.147,0.421,0.283,0.433,0.461,0.083,0.151,0.286,0.224,0.216,0.107,0.12,0.497,0.284,0.56,0.349,0
PB_24750_PB_41596,0.331,0.348,0.219,0.312,0.188,0.31,0.168,0.46,0.312,0.452,0.495,0.201,0.289,0.309,0.247,0.104,0.235,0.379,0.517,0.26,0.58,0.365,0
PB_24750_PB_42455,0.269,0.221,0.24,0.247,0.19,0.281,0.107,0.44,0.22,0.444,0.476,0.111,0.128,0.25,0.188,0.209,0.095,0.111,0.419,0.32,0.462,0.309,0
PB_24750_PB_44551,0.315,0.298,0.217,0.285,0.28,0.337,0.154,0.423,0.359,0.439,0.465,0.143,0.168,0.292,0.231,0.13,0.109,0.162,0.472,0.245,0.493,0.372,0
PB_24750_PB_60061,0.472,0.318,0.286,0.207,0.261,0.178,0.172,0.423,0.147,0.432,0.436,0.154,0.218,0.361,0.343,0.169,0.251,0.33,0.375,0.254,0.476,0.51,0
PB_24795_PB_25234,0.763,0.341,0.215,0.336,0.302,0.332,0.115,0.4,0.432,0.413,0.439,0.132,0.585,0.749,0.675,0.409,0.398,0.427,0.765,0.659,0.911,0.809,0
PB_24795_PB_60061,0.472,0.319,0.288,0.206,0.262,0.179,0.173,0.424,0.15,0.434,0.437,0.152,0.221,0.362,0.345,0.171,0.253,0.332,0.379,0.251,0.479,0.511,0
PB_24959_PB_25982,0.734,0.286,0.212,0.241,0.225,0.211,0.259,0.233,0.579,0.291,0.26,0.208,0.459,0.688,0.671,0.413,0.47,0.367,0.273,0.619,0.551,0.621,0
PB_24959_PB_26297,0.732,0.231,0.235,0.22,0.233,0.215,0.227,0.251,0.546,0.296,0.305,0.215,0.462,0.686,0.676,0.402,0.466,0.352,0.267,0.614,0.492,0.639,0
PB_24959_PB_41126,0.261,0.225,0.221,0.312,0.297,0.177,0.226,0.507,0.437,0.496,0.58,0.363,0.297,0.24,0.172,0.185,0.336,0.27,0.363,0.325,0.693,0.193,0
PB_25234_PB_40593,0.283,0.208,0.205,0.259,0.219,0.366,0.161,0.423,0.247,0.428,0.469,0.147,0.189,0.271,0.223,0.222,0.17,0.217,0.526,0.272,0.556,0.324,0
PB_25234_PB_42550,0.252,0.217,0.214,0.216,0.159,0.306,0.12,0.439,0.183,0.439,0.485,0.135,0.168,0.244,0.195,0.221,0.165,0.208,0.455,0.323,0.482,0.305,0
PB_25772_PB_26297,0.754,0.254,0.213,0.229,0.16,0.629,0.635,0.21,0.442,0.265,0.187,0.127,0.417,0.766,0.78,0.801,0.794,0.733,0.369,0.842,0.287,0.607,0
PB_25772_PB_41126,0.278,0.302,0.226,0.241,0.139,0.361,0.31,0.293,0.34,0.349,0.321,0.214,0.238,0.275,0.286,0.314,0.322,0.332,0.229,0.339,0.502,0.236,0
PB_25772_PB_82223,0.618,0.22,0.217,0.232,0.264,0.483,0.504,0.187,0.182,0.274,0.12,0.099,0.296,0.33,0.609,0.638,0.387,0.618,0.36,0.336,0.21,0.237,0
PB_26297_PB_41126,0.26,0.234,0.284,0.221,0.164,0.355,0.305,0.276,0.328,0.322,0.328,0.222,0.251,0.252,0.282,0.302,0.332,0.312,0.232,0.358,0.404,0.2,0
PB_26438_PB_68654,0.216,0.248,0.335,0.226,0.238,0.152,0.248,0.263,0.229,0.291,0.254,0.155,0.494,0.281,0.098,0.174,0.435,0.396,0.192,0.161,0.313,0.319,0
PB_26564_PB_68654,0.223,0.259,0.217,0.214,0.225,0.144,0.161,0.325,0.267,0.368,0.293,0.135,0.446,0.287,0.162,0.183,0.283,0.367,0.147,0.277,0.152,0.21,0
PB_31368_PB_68654,0.21,0.205,0.332,0.268,0.234,0.276,0.297,0.229,0.32,0.26,0.221,0.219,0.487,0.274,0.183,0.191,0.591,0.354,0.33,0.332,0.393,0.477,0
PB_35522_PB_68654,0.238,0.321,0.253,0.225,0.236,0.422,0.39,0.411,0.095,0.486,0.385,0.078,0.473,0.26,0.149,0.182,0.686,0.181,0.224,0.409,0.22,0.265,0
PB_36126_PB_49249,0.438,0.24,0.258,0.204,0.222,0.315,0.354,0.256,0.204,0.254,0.241,0.092,0.158,0.23,0.079,0.186,0.414,0.167,0.297,0.28,0.313,0.289,0
PB_36237_PB_38055,0.229,0.23,0.249,0.224,0.348,0.751,0.741,0.242,0.212,0.291,0.197,0.171,0.444,0.116,0.325,0.203,0.409,0.14,0.214,0.444,0.207,0.234,0
PB_37169_PB_38055,0.22,0.238,0.246,0.228,0.346,0.752,0.741,0.227,0.206,0.276,0.171,0.145,0.453,0.127,0.329,0.207,0.411,0.141,0.215,0.445,0.213,0.227,0
PB_37169_PB_49249,0.47,0.233,0.303,0.203,0.22,0.356,0.363,0.298,0.251,0.306,0.281,0.092,0.151,0.276,0.113,0.18,0.439,0.223,0.294,0.297,0.335,0.301,0
PB_37212_PB_56635,0.215,0.361,0.283,0.29,0.281,0.311,0.291,0.287,0.117,0.296,0.285,0.213,0.174,0.201,0.263,0.266,0.252,0.174,0.232,0.578,0.172,0.181,0
PB_37212_PB_60061,0.219,0.356,0.303,0.292,0.249,0.256,0.209,0.309,0.14,0.311,0.315,0.222,0.115,0.176,0.204,0.214,0.296,0.115,0.187,0.622,0.161,0.129,0
PB_37402_PB_39919,0.722,0.346,0.243,0.434,0.379,0.559,0.562,0.2,0.296,0.211,0.251,0.227,0.293,0.358,0.31,0.214,0.708,0.287,0.524,0.715,0.594,0.366,0
