Species,Ecoregion,Networks,CMI,GPP,LED,LCC,R2,RMSE
SWTH,217,"734 (500,234)",0.211 (5.47),0.133 (2.06),0.01 (0.16),-0.086 (-1),0.136,0.099
WWCR,51,"241 (49,192)",0.649 (3.71),0.597 (1.92),-0.819 (-2.76),-0.293 (-1.12),0.697,0.063
WWCR,52,"498 (357,141)",-0.024 (-0.61),0.16 (2.95),0.262 (4.6),0.814 (12.17),0.635,0.06
WWCR,53,"576 (76,500)",1.235 (19.49),2.113 (17.72),-0.605 (-5.7),-2.649 (-18.73),0.731,0.077
WWCR,55,"166 (21,145)",0.575 (8.05),0.408 (2.88),-0.362 (-2.43),0.097 (0.5),0.445,0.125
WWCR,59,"652 (500,152)",0.197 (4.83),-0.09 (-1.45),0.069 (1.37),0.082 (1.25),0.129,0.073
WWCR,60,"563 (470,93)",-0.258 (-3.85),0.089 (2.29),0.484 (8.56),-0.135 (-2.56),0.176,0.057
WWCR,62,"121 (41,80)",-0.137 (-1.82),0.785 (8.78),0.187 (1.02),-0.665 (-5.51),0.581,0.048
WWCR,68,"441 (233,208)",0.342 (4.86),-0.537 (-3.91),-0.182 (-2.67),0.22 (1.59),0.134,0.142
WWCR,69,"1000 (500,500)",0.032 (1.5),0.739 (18.03),-0.14 (-2.49),-0.041 (-0.54),0.744,0.072
WWCR,70,"629 (500,129)",0.5 (13.16),0.14 (1.98),-0.123 (-1.78),0.07 (1.19),0.562,0.074
WWCR,71,"667 (500,167)",0.808 (25.14),0.242 (4.89),-0.159 (-2.62),-0.193 (-2.59),0.735,0.07
WWCR,72,"710 (500,210)",0.741 (31.49),-0.067 (-1.51),-0.656 (-15.17),0.653 (9.66),0.819,0.041
WWCR,74,"673 (500,173)",0.733 (23.54),0.467 (8.76),-0.259 (-6.54),0.125 (2.08),0.822,0.062
WWCR,77,"898 (500,398)",-0.143 (-3.91),-0.127 (-1.67),0.388 (5.47),0.422 (5.99),0.17,0.11
WWCR,78,"865 (500,365)",0.496 (11.96),-0.363 (-5.68),-0.153 (-2.38),0.601 (12.66),0.402,0.103
WWCR,80,"488 (69,419)",-0.161 (-2.61),0.042 (0.47),0.037 (0.44),0.772 (6.46),0.137,0.141
WWCR,87,"157 (121,36)",0.052 (0.64),1.424 (12.62),-0.252 (-1.52),-0.192 (-1.01),0.766,0.057
WWCR,88,"529 (500,29)",0.129 (1.98),0.396 (5.44),0.017 (0.19),-0.318 (-2.93),0.145,0.079
WWCR,89,"528 (500,28)",0.448 (8.68),0.068 (1.4),-0.079 (-1.16),0.304 (3.75),0.344,0.06
WWCR,90,"601 (500,101)",0.923 (24.76),0.468 (5.85),0.331 (5.58),-0.898 (-8.8),0.778,0.067
WWCR,94,"751 (251,500)",0.408 (9.91),0.885 (14.93),-0.778 (-20.41),0.004 (0.04),0.757,0.077
WWCR,95,"609 (500,109)",0.4 (8.02),0.508 (7.76),0.041 (0.6),-0.257 (-2.53),0.555,0.074
WWCR,100,"1000 (500,500)",0.288 (12.34),0.06 (1.58),-0.355 (-15.91),0.564 (9.25),0.494,0.049
WWCR,103,"578 (500,78)",0.413 (8.97),0.011 (0.15),0.219 (2.63),0.27 (2.72),0.461,0.089
WWCR,104,"39 (26,13)",-0.605 (-2.13),1.499 (4.04),1.792 (3.4),1.125 (1.14),0.908,0.088
WWCR,105,"805 (500,305)",0.112 (1.91),-0.184 (-3.02),0.44 (4.84),0.365 (3.93),0.152,0.119
WWCR,108,"526 (26,500)",0.422 (11.69),0.263 (3.66),0.127 (1.89),0.493 (4.23),0.42,0.116
WWCR,136,"80 (31,49)",0.175 (1.16),-0.022 (-0.13),-0.252 (-1.5),0.79 (1.94),0.529,0.074
WWCR,165,"374 (151,223)",-0.081 (-1.59),0.158 (2.02),-0.109 (-1.6),0.251 (4.22),0.261,0.042
WWCR,166,"181 (21,160)",0.579 (10.46),-0.934 (-6.63),-0.24 (-1.82),0.784 (4.13),0.514,0.071
WWCR,168,"518 (500,18)",0.007 (0.11),-0.067 (-0.7),0.53 (6.64),0.283 (3.13),0.262,0.062
WWCR,170,"933 (500,433)",-0.121 (-2.29),0.122 (1.38),-0.259 (-4.02),0.823 (12.8),0.465,0.104
WWCR,171,"450 (130,320)",0.294 (2.43),0.005 (0.04),0.05 (0.46),0.682 (4.39),0.602,0.103
WWCR,172,"526 (500,26)",0.312 (5.25),0.152 (2.29),0.402 (6.65),-0.179 (-2.02),0.388,0.062
WWCR,175,"581 (500,81)",0.112 (2.18),0.484 (9.38),0.215 (3.47),-0.002 (-0.03),0.539,0.063
WWCR,176,"253 (100,153)",-0.498 (-9.2),0.589 (4.69),0.394 (5.21),0.359 (2),0.573,0.075
WWCR,177,"98 (37,61)",-0.029 (-0.27),0.342 (1.35),0.649 (5.25),-0.2 (-0.75),0.523,0.089
WWCR,178,"518 (166,352)",0.14 (2.4),0.134 (1.44),0.196 (3.56),-0.102 (-1.08),0.192,0.095
WWCR,179,"627 (500,127)",0.104 (1.32),0.347 (4.33),-0.108 (-1.23),0.209 (2.19),0.221,0.091
WWCR,180,"920 (500,420)",-0.196 (-4.13),-0.206 (-2.9),0.068 (1),0.587 (5.08),0.03,0.136
WWCR,181,"567 (67,500)",0.642 (7.54),0.364 (5.31),-0.18 (-2.64),-1.444 (-8.37),0.119,0.097
WWCR,183,"54 (31,23)",-1.048 (-5),0.837 (4.35),-0.572 (-2.07),1.253 (3.07),0.458,0.079
WWCR,199,"512 (12,500)",0.368 (8.44),0.722 (6.15),0.699 (5.31),-0.508 (-3.76),0.443,0.133
WWCR,200,"363 (330,33)",-0.17 (-2.22),-0.111 (-0.94),0.251 (1.76),0.563 (3.64),0.09,0.069
WWCR,207,"414 (309,105)",0.009 (0.1),0.024 (0.21),-0.029 (-0.31),0.186 (1.5),0.025,0.088
WWCR,215,"765 (265,500)",0.068 (2.12),0.136 (2.4),0.019 (0.47),0.641 (8.78),0.391,0.117
WWCR,216,"1000 (500,500)",0.035 (1.19),0.77 (18.08),-0.219 (-3.76),0.205 (2.49),0.522,0.105
WWCR,217,"734 (500,234)",0.235 (5.02),0.296 (3.86),0.664 (8.7),-0.663 (-6.31),0.307,0.119
