ecoregion,species,cmi_tstat,gpp_tstat,led_tstat,lcc_tstat,cmi,gpp,led,lcc
108,overwaternesters,12.31,5.25,0.73,0.98,1,0,0,0
136,overwaternesters,1.25,5,3.62,2.07,0,1,0,0
165,overwaternesters,8.8,4.22,17.52,4.74,0,0,1,0
166,overwaternesters,7.67,1.37,14.41,0.5,0,0,1,0
168,overwaternesters,4.86,1.63,5.77,4.13,0,0,1,0
170,overwaternesters,7.24,0.69,1.53,2.18,1,0,0,0
171,overwaternesters,2.94,6.23,0.61,2.5,0,1,0,0
172,overwaternesters,1.91,0.74,5.22,0.34,0,0,1,0
175,overwaternesters,1.93,2.07,12.17,1.95,0,0,1,0
176,overwaternesters,2.8,4.77,0.03,0.42,0,1,0,0
177,overwaternesters,11.77,4.45,1.04,4.21,1,0,0,0
178,overwaternesters,9.26,0.3,3.54,6.55,1,0,0,0
179,overwaternesters,0.45,0.1,5.4,9.7,0,0,0,1
180,overwaternesters,5.12,0.7,5.14,0.54,0,0,1,0
181,overwaternesters,5.44,0.76,17.51,6.77,0,0,1,0
183,overwaternesters,0.21,0.68,2.5,2.3,0,0,1,0
199,overwaternesters,11.61,2.68,4.3,1.78,1,0,0,0
200,overwaternesters,1.78,4.18,2.53,13.06,0,0,0,1
207,overwaternesters,0.59,0.48,5.81,1.64,0,0,1,0
215,overwaternesters,5.35,2.05,0.43,0.48,1,0,0,0
216,overwaternesters,4.91,2.55,2.77,0.1,1,0,0,0
217,overwaternesters,5.66,4.05,0.56,1.04,1,0,0,0
89,blbw,4.64,18.11,1.78,1.37,0,1,0,0
90,blbw,17.31,14.57,1.58,17.81,0,0,0,1
94,blbw,4.12,2.27,8.67,1.74,0,0,1,0
95,blbw,9.19,8.32,0.79,2.33,1,0,0,0
100,blbw,16.27,23.69,1.12,13.32,0,1,0,0
108,blbw,62.5,0.26,0.32,0.01,1,0,0,0
51,boch,5.46,0.07,2.94,2.73,1,0,0,0
52,boch,1.9,4.19,2.57,7.43,0,0,0,1
53,boch,26.67,15.1,14.16,8.12,1,0,0,0
55,boch,4.97,2.38,2.43,0.55,1,0,0,0
59,boch,8.56,1.97,2.48,0.13,1,0,0,0
60,boch,2.3,4.86,5.9,4.57,0,0,1,0
62,boch,4.53,2.07,1.83,2.53,1,0,0,0
68,boch,0.39,2.47,5.72,0.57,0,0,1,0
69,boch,3.43,9.52,6.52,8.24,0,1,0,0
70,boch,5.85,1.04,0.35,3.75,1,0,0,0
71,boch,11.24,3.43,5.19,3.84,1,0,0,0
72,boch,9.86,1.39,7.74,3.57,1,0,0,0
74,boch,1.59,5.39,4.58,3.08,0,1,0,0
77,boch,5.34,5.33,4.73,9.01,0,0,0,1
78,boch,0.89,7.94,0.43,7.54,0,1,0,0
80,boch,1.12,5.97,1.95,3.86,0,1,0,0
87,boch,2.06,7.06,0.26,0.14,0,1,0,0
88,boch,3.8,1.02,1.67,0.61,1,0,0,0
89,boch,1.27,16.6,3.6,7.41,0,1,0,0
90,boch,20.43,6.47,3.1,2.27,1,0,0,0
94,boch,12.66,23.95,14.85,4.03,0,1,0,0
95,boch,1.52,2.76,0.62,1.01,0,1,0,0
100,boch,1.16,9.95,9.23,6.18,0,1,0,0
103,boch,15.8,2.8,0.21,0.02,1,0,0,0
104,boch,1.62,4.52,4.13,0.42,0,1,0,0
