zone,species,area,data,pct,min,mean,median,p80,p90,p95,max
73,btnw,20712,20208,98,0.0034,0.0049,0.0048,0.0058,0.006,0.0062,0.0128
73,cawa,20712,20208,98,0.0032,0.0038,0.0039,0.004,0.0041,0.0042,0.0045
73,cmwa,20712,20208,98,0.0096,0.0128,0.013,0.0134,0.0135,0.0137,0.0145
73,osfl,20712,20208,98,0.0057,0.0066,0.0066,0.0068,0.0069,0.007,0.008
73,pigr,20712,20208,98,0.0115,0.023,0.0216,0.0269,0.031,0.0348,0.0557
73,rubl,20712,20208,98,0.0159,0.0329,0.028,0.0434,0.0486,0.053,0.0684
73,swth,20712,20208,98,0.0705,0.0869,0.0863,0.0924,0.0947,0.0977,0.1376
73,wwcr,20712,20208,98,0.0609,0.088,0.0815,0.1046,0.1128,0.119,0.4953
74,blbw,46732,46732,100,0.0026,0.0051,0.0051,0.0058,0.0062,0.0064,0.0076
74,boch,46732,46732,100,0.0386,0.0896,0.0846,0.1102,0.1285,0.1427,0.2621
74,brcr,46732,46732,100,0.0144,0.0242,0.0238,0.0266,0.0275,0.0285,0.0329
74,btnw,46732,46732,100,0.0035,0.0051,0.0049,0.0058,0.0061,0.0066,0.0174
74,cawa,46732,46732,100,0.0025,0.0034,0.0035,0.0038,0.0039,0.004,0.0044
74,cmwa,46732,46732,100,0.0088,0.0132,0.0129,0.0146,0.0156,0.0163,0.0198
74,osfl,46732,46732,100,0.005,0.006,0.0058,0.0063,0.0067,0.007,0.0094
74,pigr,46732,46732,100,0.013,0.0237,0.0216,0.0288,0.0325,0.0359,0.1161
74,rubl,46732,46732,100,0.0157,0.0411,0.0398,0.0525,0.059,0.0645,0.1224
74,swth,46732,46732,100,0.0702,0.1009,0.0924,0.1171,0.1401,0.156,0.2033
74,wwcr,46732,46732,100,0.078,0.1889,0.1902,0.2326,0.2493,0.2632,0.4341
75,blbw,22376,22180,99,0.0033,0.0054,0.0053,0.0059,0.0067,0.0072,0.0079
75,boch,22376,22180,99,0.0289,0.0733,0.0685,0.0929,0.1048,0.1104,0.2062
75,brcr,22376,22180,99,0.0152,0.021,0.0226,0.024,0.0243,0.0244,0.0251
75,btnw,22376,22180,99,0.0038,0.0056,0.0057,0.0065,0.0069,0.0071,0.0142
75,cawa,22376,22180,99,0.0026,0.0031,0.003,0.0034,0.0036,0.0038,0.0043
75,cmwa,22376,22180,99,0.0104,0.0139,0.014,0.0147,0.0149,0.0151,0.018
75,osfl,22376,22180,99,0.0049,0.0069,0.0071,0.0073,0.0074,0.0075,0.0094
75,pigr,22376,22180,99,0.0104,0.0189,0.018,0.0235,0.0264,0.0299,0.0773
75,rubl,22376,22180,99,0.0214,0.0323,0.0314,0.035,0.0377,0.0412,0.0641
75,swth,22376,22180,99,0.071,0.1068,0.1015,0.1197,0.1325,0.1441,0.1764
