ecozone,ecoprovince,ecoregion,spp,eco_cells,spp_cells,min,mean,median,p80,p90,p95,max,std_dev
4,4.2,53,cswa,1897,1897,0.0024,0.0029,0.0029,0.003,0.003,0.003,0.0031,1e-4
4,4.2,53,deju,1897,1897,0.061,0.1063,0.105,0.1289,0.1416,0.1511,0.18,0.0253
4,4.2,53,eaki,1897,1897,0.0031,0.0034,0.0033,0.0033,0.0034,0.0041,0.0073,5e-4
4,4.2,53,eaph,1897,1897,0.0014,0.0016,0.0016,0.0016,0.0016,0.0017,0.0023,1e-4
4,4.2,53,evgr,1897,1897,0.0023,0.0027,0.0026,0.0028,0.0028,0.0029,0.0042,2e-4
4,4.2,53,fosp,1897,1897,0.0487,0.1097,0.1098,0.1327,0.1445,0.1593,0.2287,0.0297
4,4.2,53,gcki,1897,1897,0.0153,0.0215,0.0203,0.0242,0.0269,0.0313,0.0349,0.004
4,4.2,53,gcth,1897,1897,0.0085,0.0417,0.0395,0.0544,0.0705,0.0784,0.1277,0.0198
4,4.2,53,graj,1897,1897,0.0357,0.0505,0.0479,0.058,0.0611,0.0631,0.0846,0.0082
4,4.2,53,heth,1897,1897,0.0146,0.0255,0.0234,0.0314,0.0371,0.0407,0.0555,0.0073
4,4.2,53,hola,1897,1897,0.0069,0.0071,0.0071,0.0071,0.0071,0.0071,0.0074,0
4,4.2,53,lcsp,1897,1897,0.0025,0.0036,0.0038,0.0039,0.004,0.0042,0.0048,5e-4
4,4.2,53,lefl,1897,1897,0.019,0.0206,0.0206,0.0208,0.021,0.0213,0.0264,4e-4
4,4.2,53,lisp,1897,1897,0.0191,0.0842,0.0535,0.144,0.1939,0.2214,0.3654,0.0674
4,4.2,53,mawa,1897,1897,0.0186,0.0219,0.0215,0.0238,0.0245,0.0252,0.0325,0.0019
4,4.2,53,mowa,1897,1897,0.0012,0.0017,0.0016,0.002,0.0021,0.0022,0.0023,3e-4
4,4.2,53,nawa,1897,1897,0.0041,0.0061,0.0062,0.0064,0.0065,0.0065,0.0067,3e-4
4,4.2,53,nowa,1897,1897,0.0104,0.0297,0.0285,0.0375,0.0466,0.0592,0.0897,0.0133
4,4.2,53,ocwa,1897,1897,0.0388,0.1171,0.1069,0.1574,0.2144,0.2612,0.3493,0.0661
4,4.2,53,osfl,1897,1897,0.0026,0.0034,0.0031,0.0038,0.0041,0.0054,0.0072,8e-4
4,4.2,53,oven,1897,1897,0.0049,0.0057,0.0057,0.006,0.0061,0.0062,0.0065,2e-4
4,4.2,53,pawa,1897,1897,0.0055,0.0217,0.0127,0.031,0.0464,0.0633,0.176,0.0209
4,4.2,53,phvi,1897,1897,0.0035,0.0048,0.0048,0.0049,0.0049,0.0049,0.005,2e-4
4,4.2,53,pigr,1897,1897,0.0073,0.0112,0.0109,0.012,0.0128,0.0135,0.0618,0.0027
4,4.2,53,pisi,1897,1897,0.025,0.0346,0.0349,0.0363,0.0374,0.0384,0.0451,0.0027
4,4.2,53,pufi,1897,1897,0.0053,0.0062,0.0062,0.0066,0.0066,0.0066,0.0075,3e-4
4,4.2,53,rbgr,1897,1897,6e-4,0.0015,0.0014,0.002,0.0023,0.0024,0.0027,6e-4
4,4.2,53,rbnu,1897,1897,0.0075,0.0093,0.0093,0.0101,0.0104,0.0106,0.0123,9e-4
4,4.2,53,rcki,1897,1897,0.0198,0.0627,0.0637,0.0879,0.0961,0.1014,0.139,0.0249
4,4.2,53,revi,1897,1897,0.0113,0.012,0.012,0.0121,0.0121,0.0122,0.0135,2e-4
4,4.2,53,rubl,1897,1897,0.0032,0.0084,0.006,0.0081,0.0171,0.0266,0.053,0.0076
4,4.2,53,rwbl,1897,1897,0.0131,0.0144,0.0142,0.0153,0.0158,0.0159,0.0202,0.001
4,4.2,53,savs,1897,1897,0.0285,0.0753,0.0766,0.0847,0.0896,0.0958,0.1687,0.0163
4,4.2,53,sosp,1897,1897,0.0117,0.0135,0.0135,0.0136,0.0137,0.014,0.0154,3e-4
4,4.2,53,swsp,1897,1897,0.0021,0.0042,0.0036,0.005,0.0065,0.0078,0.0125,0.0017
4,4.2,53,swth,1897,1897,0.0639,0.1657,0.1663,0.2114,0.2273,0.2525,0.3084,0.0533
4,4.2,53,tewa,1897,1897,0.009,0.0276,0.0219,0.0349,0.0457,0.0775,0.2204,0.0229
4,4.2,53,tres,1897,1897,0.0199,0.0255,0.0256,0.0279,0.0284,0.0293,0.0478,0.0025
4,4.2,53,vath,1897,1897,0.0146,0.0158,0.0157,0.0164,0.0166,0.0169,0.0202,7e-4
4,4.2,53,vesp,1897,1897,0.0041,0.0045,0.0045,0.0045,0.0046,0.0046,0.0046,1e-4
4,4.2,53,wavi,1897,1897,0.0132,0.0156,0.0152,0.0166,0.0172,0.0176,0.0204,0.0012
4,4.2,53,wcsp,1897,1897,0.1246,0.4932,0.4693,0.6732,0.7427,0.7796,0.8834,0.1717
4,4.2,53,weta,1897,1897,0.0017,0.0078,0.0088,0.01,0.0103,0.0107,0.0122,0.0025
4,4.2,53,wewp,1897,1897,0.0011,0.0071,0.0079,0.0083,0.0085,0.0086,0.0092,0.0017
4,4.2,53,wiwa,1897,1897,0.0314,0.0515,0.0521,0.0556,0.0587,0.0635,0.1216,0.008
4,4.2,53,wiwr,1897,1897,0.0028,0.0033,0.0033,0.0035,0.0035,0.0035,0.0038,2e-4
4,4.2,53,wtsp,1897,1897,0.0219,0.0319,0.0284,0.0409,0.044,0.046,0.0613,0.0079
4,4.2,53,wwcr,1897,1897,0.0633,0.0763,0.0732,0.0828,0.0912,0.0988,0.1285,0.0103
4,4.2,53,ybfl,1897,1897,0.005,0.0064,0.0062,0.0067,0.0071,0.0077,0.0098,7e-4
4,4.2,53,yrwa,1897,1897,0.097,0.1934,0.1776,0.244,0.3088,0.3721,0.4431,0.0789
