bcr,rep,species,dissim,ks_cmi,ks_gpp,ks_led,bc_lcc
BCR4,0,deciduousbirds,0.525,0.213,0.279,0.331,0.332
BCR4,0,deciduousbirds,0.625,0.337,0.214,0.38,0.323
BCR4,0,deciduousbirds,0.604,0.307,0.288,0.393,0.349
BCR4,0,deciduousbirds,0.511,0.23,0.235,0.289,0.273
BCR4,0,deciduousbirds,0.525,0.221,0.281,0.307,0.348
BCR4,0,deciduousbirds,0.653,0.237,0.351,0.381,0.541
BCR4,0,deciduousbirds,0.64,0.231,0.338,0.36,0.49
BCR4,0,deciduousbirds,0.707,0.453,0.22,0.426,0.384
BCR4,0,deciduousbirds,0.68,0.413,0.318,0.442,0.417
BCR4,0,deciduousbirds,0.404,0.278,0.201,0.232,0.332
BCR4,0,deciduousbirds,0.404,0.277,0.201,0.232,0.332
BCR4,0,deciduousbirds,0.644,0.227,0.339,0.391,0.513
BCR4,0,deciduousbirds,0.666,0.386,0.223,0.431,0.405
BCR4,0,deciduousbirds,0.643,0.35,0.31,0.446,0.434
BCR4,0,deciduousbirds,0.559,0.252,0.219,0.319,0.335
BCR4,0,deciduousbirds,0.545,0.222,0.3,0.332,0.362
BCR4,0,deciduousbirds,0.515,0.221,0.281,0.31,0.346
BCR4,0,deciduousbirds,0.419,0.243,0.201,0.207,0.319
BCR4,0,deciduousbirds,0.416,0.238,0.211,0.207,0.324
BCR4,0,deciduousbirds,0.644,0.336,0.23,0.381,0.352
BCR4,0,deciduousbirds,0.626,0.305,0.306,0.394,0.378
BCR4,0,deciduousbirds,0.522,0.237,0.256,0.289,0.302
BCR4,0,deciduousbirds,0.586,0.327,0.203,0.325,0.341
BCR4,0,deciduousbirds,0.544,0.269,0.269,0.359,0.372
BCR4,0,deciduousbirds,0.477,0.303,0.235,0.297,0.274
BCR4,0,deciduousbirds,0.534,0.29,0.26,0.321,0.31
BCR4,0,deciduousbirds,0.418,0.206,0.206,0.208,0.234
BCR4,0,deciduousbirds,0.671,0.262,0.34,0.395,0.506
BCR4,0,deciduousbirds,0.697,0.461,0.218,0.438,0.398
BCR4,0,deciduousbirds,0.671,0.423,0.309,0.454,0.429
BCR4,0,deciduousbirds,0.596,0.327,0.222,0.35,0.355
BCR4,0,deciduousbirds,0.576,0.297,0.299,0.363,0.38
BCR4,0,deciduousbirds,0.576,0.327,0.203,0.327,0.339
BCR4,0,deciduousbirds,0.556,0.297,0.281,0.34,0.365
BCR4,0,deciduousbirds,0.455,0.293,0.205,0.239,0.326
BCR4,0,deciduousbirds,0.451,0.287,0.216,0.238,0.331
BCR4,0,deciduousbirds,0.452,0.287,0.216,0.238,0.331
